pmid,first_half,second_half_gold,word_count
35099914,"Objetivo. Estudiar la asociación de la inseguridad alimentaria con los cambios percibidos en la alimentación durante el confinamiento por Covid-19 en México. Material y métodos. El nivel de inseguridad alimentaria se obtuvo utilizando la Escala Latinoamericana y Caribeña de Seguridad Alimentaria (ELCSA) en 9 933 hogares de la Encuesta Nacional de Salud y Nutrición Continua 2020 Covid-19 (Ensanut -Continua- 2020 Covid-19). Los cambios en el consumo de grupos de alimentos durante el confinamiento se clasificaron en negativos, positivos o","sin cambios durante el confinamiento. La asociación entre cambios en la alimentación e inseguridad alimentaria se analizó con modelos multinomiales ajustados por características sociodemográficas del hogar. Resulta-dos. Los hogares con reducción en el gasto en alimentos e inseguridad alimentaria severa mostraron mayor probabilidad de tener cambios negativos en su alimentación (0.43, IC95%: 0.40-0.46). Conclusiones. La inseguridad alimentaria severa se asocia con cambios negativos en la alimentación durante el confinamiento por Covid-19, en hogares con reducción del gasto en alimentos.",158
35099911,"Objetivo. Investigar el cumplimiento de las recomendacio-nes de aislamiento ante síntomas de Covid-19 o contacto con un caso. Material y métodos. Estudio transversal basado en la Encuesta Nacional de Salud y Nutrición 2020 sobre Covid-19. Se describió la prevalencia de aislamiento y su asociación con factores del nivel individual, hogar y contexto utilizando modelos de regresión log-binomial. Resultados. El 48.1% de la población >10 años reportó quedarse en casa ante síntomas o contacto con un caso. La prevalencia de","aislamiento fue menor entre población ocupada vs. no-ocupada (RP 0.81; IC95% 0.73-0.89), mayor entre personas con alto nivel socioeconómico vs. bajo (RP 1.22; IC95% 1.08-1.38) y menor entre personas viviendo en estados sin un mensaje específico sobre aislamiento vs. estados con mensaje específico (RP 0.76; IC95% 0.63-0.91). Conclusiones. El cumplimiento de las recomendaciones de aislamiento durante la pandemia de Covid-19 estuvo asociado con factores socioeconómicos individuales y con la calidad de los mensajes de salud pública de los estados.",158
35099909,"Objetivo. Estimar la seroprevalencia de SARS-CoV-2 en población de edad escolar en México. Material y métodos. Se categorizaron a niños y adolescentes que participaron en la Encuesta Nacional de Salud y Nutrición 2020 sobre Covid-19 (Ensanut 2020 Covid-19) por edad escolar y nivel educativo. En participantes seropositivos, se identificó la proporción de infecciones asintomáticas. Se estimaron","razones de prevalencia usando un modelo de regresión log-binomial. Resultados. La seroprevalencia en educación básica y media fue de 18.7% (IC95%: 14.9, 22.5) y 26.7% (IC95%: 22.1, 31.3), respectivamente. La infección asintomática fue más frecuente en educación básica (88.5% [IC95%: 80.5, 93.5]). Conclusiones. En población de educación básica la infección por SARS-CoV-2 es baja y usualmente asintomática.",113
35099908,"Objetivo. Describir la prevalencia de hipertensión arterial (HTA) en adultos mexicanos, la proporción que tiene tensión arterial (TA) controlada y la tendencia en el periodo 2018-2020. Material y métodos. Se midió la TA a 9 844 adultos en la Encuesta Nacional de Salud y Nutrición (Ensanut) 2020. Se consideró que tenían HTA o TA controlada cuando cumplían los criterios del Seventh Joint National Committee (JNC-7) o American Heart Association (AHA). Resultados. La prevalencia de HTA fue 49.4% (según AHA), de los cuales 70% desconocía","su diagnóstico. Según la clasificación JNC-7, 30.2% de los adultos tenía HTA y 51.0% ignoraba su diagnóstico. Entre adultos con diagnóstico previo de HTA, 54.9% tuvo TA controlada. Entre el periodo 2018-2020 no se observaron cambios en las prevalencias. Conclusiones. Al menos un tercio de los adultos mexicanos tiene HTA y de ellos al menos la mitad no habían sido diagnosticados. Debe evaluarse la pertinencia de los actuales programas de diagnóstico de HTA porque el subdiagnóstico y mal control pueden ocasionar complicaciones y la muerte.",169
35099904,Señor editor: La pandemia actual de Covid-19 relacionada con la ya existente de virus de inmunodeficiencia humana (VIH) genera conocimiento acerca de la población,seropositiva. Una cohorte española afirma que la administración de antirretrovirales (ARV) específicos contribuye a tener menor riesgo de presentar Covid-19 y hospitalización por esta causa...,49
35099903,"Señor editor: La hospitalización de un miembro de la familia representa todo un fenómeno social y cultural. Esto afecta no sólo al enfermo, sino también al resto de los integrantes de la","familia. La realización de las tareas del cuidador requiere un gasto de tiempo y dinero. Además del desgaste físico, psicológico y social que conlleva esta tarea, el cuidador puede presentar depresión y ansiedad.",65
35099902,"Objetivo. Analizar la asociación entre la presencia de anticuerpos contra SARS-CoV-2, con la inseguridad alimentaria (IA) y otras características del hogar, en una muestra nacional de hogares mexicanos. Material y métodos. Se obtuvo información a nivel de hogar en una muestra nacional representativa sobre seguridad alimentaria (SA), factores sociodemográficos, cambios en la economía y consumo de alimentos. Se estimó mediante regresión logística ordinal la relación entre IA y características de los hogares y modelos de regresión logística multinomial para estudiar los cambios autorreportados en el consumo","de alimentos e IA, ante la presencia de seropositividad contra SARS-CoV-2 en el hogar. Resultados. Los hogares con casos de seropositividad presentaron menor consumo de carnes. En hogares que tuvieron una reducción de sueldo y la presencia de una persona con anticuerpos contra SARS-CoV-2 en el hogar, se presentó un aumento en la prevalencia de niveles más altos de IA (RM=1.225; IC95%: 1.04, 1.44) Conclusiones. La IA en hogares durante la pandemia se agravó por diversos factores, por lo cual se requieren acciones de política pública integrales.",173
35099898,"Objetivo. Analizar la asociación entre seropositividad a SARS-CoV-2 y enfermedades crónicas en adultos y adultos mayores mexicanos. Material y métodos. Se utilizó la Encuesta Nacional de Salud y Nutrición 2020 sobre Covid-19 (Ensanut 2020 Covid-19) para evaluar la asociación de seropositividad a SARS-CoV-2 con hipertensión arterial sistémica, diabetes tipo 2, índice de masa corporal, LDL-c elevado, HDL-c bajo, colesterol total elevado e hipertrigliceridemia. Resultados. Se observó una mayor seropositividad en personas con mayor índice","de masa corporal. La seroprevalencia fue 25% mayor entre los adultos que presentaban obesidad en comparación con aquellos de peso normal en modelos ajustados (RP: 1.25 IC95%: 1.08,1.46). No se observó asociación entre seropositividad y otras enfermedades crónicas en adultos o adultos mayores. Conclusiones. Las personas con obesidad podrían tener una mayor susceptibilidad a la infección por SARS-CoV-2. Este hallazgo debe ser confirmado con estudios longitudinales. No se encontró evidencia de asociación para otras enfermedades.",149
35099897,"Objetivo. Conocer la magnitud del consumo excesivo de alcohol (CEA) y su asociación con los factores individuales, familiares y sociales entre agosto y noviembre de 2020 en México. Material y métodos. Con base en los datos de la Encuesta Nacional de Salud y Nutrición 2020 sobre Covid-19, se analizaron 8 595 adultos mayores de 20 años. Se estimaron modelos de regresión logística estratificados por sexo y se obtuvieron razones de momios (RM) con intervalos de confianza al 95% (IC95%).","Resultados. El CEA fue de 40.43%; hombres 56.49% y mujeres 25.70%. Los principales factores asociados fueron ser hombre (RM=3.66; IC95%: 3.22,4.12), edad de 20 a 29 años (RM=3.65; IC95%: 2.89,4.63), salir a trabajar durante la pandemia (RM=1.56; IC95%: 1.33,1.81) y tener dos o más escolares en el hogar (RM=1.20; IC95%: 1.03,1.39). Conclusiones. En México, el patrón de CEA es prevalente; por su naturaleza de riesgo y su amplia distribución poblacional, es prioritario implementar intervenciones preventivas individuales y de salud pública.",159
35099896,"Señor editor: La emigración de enfermeros mexicanos hacia el extranjero es un tema que cobra relevancia durante la pandemia por Covid-19, principalmente por la necesidad de contar",con profesionales calificados que hagan frente a esta situación de emergencia sanitaria. Pero ¿por qué los enfermeros están emigrando cuando México también tiene escasez de estos profesionales?..,54
35099890,"México cuenta con más de tres décadas de gran experiencia en la aplicación de Encuestas Nacionales de Salud. La primera Encuesta de Salud fue realizada por la Secretaría de Salud (SS) en el año de 1986; tan sólo dos años después se llevó a cabo la primera Encuesta Nacional de Nutrición, enfocada al área materno-infantil. Posteriormente, la Secretaría de Salud encargó al Instituto Nacional de Salud Pública (INSP) que realizara en","1999 una segunda Encuesta Nacional de Nutrición materno-infantil y, en el año 2000, una Encuesta Nacional de Salud. En 2006, bajo el esfuerzo del INSP y de la SS, se unen ambas encuestas, lo que da origen a la primera Encuesta Nacional de Salud y Nutrición (Ensanut), la cual incluye, en un mismo operativo, la evaluación de la nutrición y de la salud en toda la población a nivel nacional y estatal.",143
35099889,"Objetivo. Describir el diseño de la Encuesta Nacional de Salud y Nutrición 2021 (Ensanut 2021). Material y métodos. La Ensanut 2021 es una encuesta probabilística de hogares que forma parte de la serie de Ensanut Continua 2020-2024. En esta ocasión se describen el alcance, el muestreo, la medición y la organización logística. Resultados.",Se planea obtener al menos 12 060 entrevistas de hogar completas a nivel nacional y 9 837 muestras para determinar seropositividad a SARS-CoV-2 a nivel nacional. Conclusiones. La Ensanut 2021 permitirá realizar inferencias regionales sobre la prevalencia de seropositividad a SARS-CoV-2 y también acumular información para realizar inferencias estatales en el año 2024.,106
35099888,La Covid-19 se ha convertido en el evento de mayor impacto en la salud pública de los últimos 100 años. La región de las Américas y México no escapan a esta realidad pues ambos se han vistos particularmente,"afectados. Efectivamente, al 25 de octubre de 2021 se habían reportado 244 millones de casos de Covid-19 en el mundo y casi 5 millones de fallecimientos, con 38 y 46%, respectivamente, provenientes de nuestra región de las Américas.",76
35099886,"Objetivo. Estimar la prevalencia de violencia de pareja por sexo y su asociación con el uso de tabaco, alcohol y drogas en México. Material y métodos. Estudio transversal de la Encuesta Nacional de Consumo de Drogas, Alcohol y Tabaco 2016, que incluyó a 34 861 personas de 12 a 65 años. Se esti-maron modelos de regresión logística para obtener razones de momios (RM) e intervalos de confianza al 95% (IC95%). Resultados. La prevalencia de violencia de","pareja fue de 15.14%; 18.16% en mujeres y 11.89% en hombres. Factores asociados: consumo excesivo de alcohol (RM: 1.64; IC95% 1.38-1.96), consumo de tabaco (RM:1.71;IC95% 1.42-2.07), consumo de medicamentos psicotrópicos sin receta (RM: 3.72; IC95% 1.76-7.88) y consumo de marihuana (RM: 3.06; IC95%: 1.58-5.91). Conclusiones. Los resultados apoyan la necesidad de implementar intervenciones multisectoriales, fortalecer competencias psicosociales para lograr la mejora de la calidad y acceso a los servicios de salud mental y adic-ciones en México.",152
35099884,"Objetivo. Identificar barreras, facilitadores y propuestas de mejora en la implementación de Guías de Práctica Clínica (GPC) desde la perspectiva de los profesionales de la salud. Material y métodos. Estudio cualitativo a través de 85 entrevistas semiestructuradas a responsables de implementa-ción, difusión y aplicación, y del personal operativo en centros de atención primaria y hospitales en siete estados de México. El contenido fue codificado y analizado con ATLAS.ti 7.0. Resultados.","Las principales barreras encontradas fueron la no actualización de las GPC y baja alineación con otras normas, e imposibilidad de implementarlas debido a la sobre-carga de trabajo y los recursos limitados. Conclusiones. El esfuerzo por implementar GPC parece haber sido errático e insuficiente, y la evaluación de su utilización inexistente. Se propone crear estrategias integradas y contextualizadas que resulten ser más efectivas y eficientes para la implementación exitosa de GPC.",140
35099882,"Objetivo. Describir el comportamiento de la epidemia de SARS-CoV-2 entre los trabajadores afiliados al Instituto Mexicano del Seguro Social (IMSS). Material y métodos. Se analizaron las incapacidades temporales para el trabajo por enfermedades respiratorias (ITT-ER), las hospitalizaciones y defunciones asociadas durante el periodo del 1 marzo al 31 diciembre 2020. Se estimó la tasa de ataque (TA) por SARS-CoV-2, así como los riesgos relativos (RR) de ITT-ER, hos-pitalización y defunción. Resultados. De los trabajadores afiliados al IMSS, 8.8% (n=1 730 334) recibió al menos una ITT-ER. La TA fue mayor en mujeres y en ambos sexos fue menor en","el grupo de >60 años. Los RR de hospitalización y defunción fueron mayores en hombres y aumentaron con la edad. Comparado con las ITT-ER de 2015-2019, Durango, Tamaulipas y Nuevo León tuvieron un RR mayor de ITT-ER que el resto del país. Conclusiones. La epidemia de SARS-CoV-2 tuvo repercusiones importantes en los trabajadores afiliados al IMSS; se observó un exceso de ITT-ER de 4.6 veces respecto a la frecuencia esperada y cerca de un millón de casos de SARS-CoV-2. Los datos sugieren que el sistema de ITT-ER puede ser utilizado como elemento adicional para la vigilancia epidemiológica de enfermedades emergentes.",199
35099880,"Objetivo. Analizar la prevalencia de sedentarismo laboral en diferentes contextos ocupacionales y estimar los factores asociados de acuerdo con el sector de actividad económica. Material y métodos. Análisis secundario de datos de la Encuesta Nacional de Ocupación y Empleo (ENOE); se identificó la ocupación y se clasificó en cuatro categorías. La variable dependiente fue el sedentarismo laboral; las variables independientes fueron sexo, edad, escolaridad, ingreso, zona de residencia urbana del trabajador, formalidad laboral y región socioeconómica. Los factores","asociados se estimaron mediante regresión logística múltiple por sector de actividad económica. Resultados. La mayor prevalencia del seden-tarismo laboral se encontró en el sector de servicios (43%, IC95%: 42.3-43.6). Los factores asociados fueron nivel de estudios superior, mayores ingresos, ser mujer y trabajar en el sector formal. Conclusiones. La prevalencia de seden-tarismo laboral es alta en sectores productivos estratégicos, por lo que es necesario considerar los factores de riesgo identificados en este trabajo para establecer estrategias de mitigación.",156
35099869,"Objetivo. Analizar la gobernanza en el sistema de salud en México, en las políticas frente a la pandemia por Covid-19. Material y métodos. Estudio cualitativo, analítico, realizado entre junio y noviembre de 2020. Se analizaron 41 entrevistas semiestructuradas que se aplicaron a acto-res clave del sistema de salud y que se organizaron en el software ATLAS.ti 9. El análisis se adhirió a los principios teórico-metodológicos del Marco Analítico de Gobernanza. Resultados. El problema: la formulación de políticas fue centralizada; los actores: sólo los altos","mandos participan en las decisiones; las normas: los valores sociales y el liderazgo determinan su nivel de responsabilidad; toma de decisio-nes: los altos mandos reconocieron poder para proponer modificaciones al Marco Normativo; los nodos: las políticas federales fueron adaptadas a nivel estatal de manera diferen-ciada. Conclusiones. La gobernanza centralizada, los niveles diferenciados de convocatoria de los actores, su poder de decisión, acuerdos, responsabilidad y liderazgo, definieron el alcance de la gobernanza y, a su vez, el nivel de respuesta ante la pandemia por Covid-19.",168
35099868,"México fue pionero en establecer catálogos para identificar y hacer asequibles insumos médicos para la atención de su población, incluyendo medicamentos, instrumental, equipos y material de curación. Hace medio siglo, en 1971, surgió en el Instituto Mexicano del Seguro Social la iniciativa del llamado Cuadro Básico, que se constituyó como una herramienta fun-damental para el funcionamiento de las instituciones públicas de salud, con la cual se establecieron listados de insumos con probada eficacia y seguridad, con","claves administrativas asignadas que permitieron su adquisición ordenada. En 2020 se llevó a cabo la transición del Cuadro Básico y Catálogo al Compendio Nacional de Insumos para la Salud, el cual recuperó el espíritu original de sus creadores como un do-cumento vivo y en constante evolución, respaldado por una metodología rigurosa para la revisión de los insumos que se incluyen, basada en la evaluación de su efectividad, seguridad y calidad, y en criterios farmacoeconómicos y consensos interinstitucionales.",153
